cusip6,cik,name,cusip,form10KUrls,CIK,PULL URL
23135,1018724,"{'AMAZON COM INC CALL', 'AMAZON COM INC'}","{'023135106', '023135906', '023135956'}",https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004.txt,1018724,x
67066G,1045810,"{'NVIDIA Corporation', 'NVIDIA CORPORATION CALL', 'NVIDIA CORPORATION PUT', 'NVIDIA CORPORATION'}","{'67066g104', '67066G904', '67066G954', '67066G104'}",https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017.txt,1045810,x
3783,1490054,{'APPLE INC'},{'003783310'},https://www.sec.gov/Archives/edgar/data/1490054/000109690623001489/0001096906-23-001489.txt,1490054,x
70450Y,1633917,{'PAYPAL HLDGS INC'},"{'70450Y903', '70450y103', '70450Y953', '70450Y103'}",https://www.sec.gov/Archives/edgar/data/1633917/000163391723000033/0001633917-23-000033.txt,1633917,x
37833,320193,"{'APPLE INC CALL', 'Apple Inc', 'APPLE INC PUT'}","{'037833950', '037833100', '037833900'}",https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106.txt,320193,x
458140,50863,"{'INTEL CORP', 'Intel Corp'}","{'458140950', '458140900', '458140100'}",https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006.txt,50863,x
26874,5272,"{'American International Group, Inc.', 'American Intl Group', 'AMERICAN INTL GROUP INC'}","{'026874784', '026874904', '026874954', '026874107'}",https://www.sec.gov/Archives/edgar/data/5272/000000527223000007/0000005272-23-000007.txt,5272,x
69331C,75488,"{'PG&E CORP COM', 'PG&E CORP', None}","{'69331C908', '69331c108', '69331C108', '69331C958', '69331C140'}",https://www.sec.gov/Archives/edgar/data/75488/000100498023000029/0001004980-23-000029.txt,75488,x
580135,63908,{'MCDONALDS CORP'},"{'580135101', '580135951', '580135901'}",https://www.sec.gov/Archives/edgar/data/63908/000006390823000012/0000063908-23-000012.txt,63908,x
594918,789019,"{'MICROSOFT CORP', 'MICROSOFT CORP PUT'}","{'594918954', '594918104', '594918904'}",https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122.txt,789019,x
